source,target
225845,5778182
1159,5778334
78972,5778523
1159,5778334
1159,5778334
78972,5778523
78972,5778523
1159,5778334
225845,5778182
225845,5778182
1159,5778334
225845,5778182
78972,5778523
78972,5778523
225845,5778182
225845,5778182
1159,5778334
1159,5778334
324097,5778523
225845,5778182
78972,5778523
78972,5778523
1159,5778334
1159,5778334
225845,5778182
1159,5778334
225845,5778182
155613,5778421
1159,5778334
1159,5785394
1159,5785394
225845,5778182
225845,5778182
225845,5778182
225845,5778182
1159,5785394
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
1159,5778334
1159,5778334
78972,5778523
1159,5778334
78972,5778523
78972,5778523
1159,5778334
225845,5778182
78972,5778523
225845,5778182
225845,5778182
1159,5778334
225845,5778182
1159,5778334
225845,5778182
225845,5778182
1159,5778334
1159,5778334
1159,5778334
78972,5778523
1159,5778334
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
1159,5778334
225845,5778182
1159,5778334
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
1159,5778334
225845,5778182
78972,5778523
1159,5778334
225845,5778182
225845,5778182
1159,5778334
1159,5778334
225845,5778182
225845,5778182
78972,5778523
225845,5778182
225845,5778182
78972,5778523
78972,5778523
1159,5778334
1159,5778334
225845,5778182
78972,5778523
1159,5778334
1159,5778334
78972,5778523
1159,5778334
1159,5778334
225845,5778182
225845,5778182
1159,5778334
1159,5778334
225845,5778182
225845,5778182
225845,5778182
78972,5778523
1159,5778334
225845,5778182
225845,5778182
225845,5778182
1159,5778334
225845,5778182
225845,5778182
225845,5778182
225845,5778182
225845,5778182
78972,5778523
78972,5778523
225845,5778182
78972,5778523
1159,5778334
78972,5778523
78972,5778523
78972,5778523
225845,5778182
78972,5778523
1159,5778334
78972,5778523
418849,5778182
99859,5778182
46613,5778334
376101,5778401
55151,5778421
1159,5778438
155613,5778421
420513,5778401
46613,5778523
324097,5778595
418849,5778595
46613,5778597
376101,5778438
324097,5778602
55151,5778603
46613,5778615
420513,5778597
324097,5778648
420920,5778182
225845,5778182
1159,5778493
163386,5778334
169514,5778826
163386,5778829
420959,5778615
415855,5779040
78972,5778523
420513,5778334
418849,5778334
169514,5778334
324097,5778523
324097,5778523
1159,5778334
420959,5778334
418849,5778182
418849,5778334
324097,5778523
324097,5778523
376101,5778401
155613,5778421
78972,5778523
420513,5778334
324097,5778523
225845,5778182
155613,5778421
78972,5778523
420920,5778182
78972,5778523
78972,5778523
225845,5778182
78972,5778523
225845,5778182
324097,5778523
225845,5778182
420920,5778182
1159,5778334
78972,5778523
420920,5778182
420920,5778182
324097,5778523
420959,5778334
78972,5778523
